0.9	5.42	-93.325	-63.65	-74.75	-99	-99	-99	-99	-99	-99	-71.825	-83.2	-87.65	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-91.55	-89.775	-84.125	-99	-99	-77.95	-99	-99	-99	-99	-99	-99	-96.9	-97	-99	-98.3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
0.9	9.83	-87.825	-55.9	-78.275	-99	-99	-99	-99	-99	-96.85	-67.525	-76.575	-94.475	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-87.275	-94.25	-86.35	-99	-99	-80.3	-99	-99	-99	-99	-99	-99	-94	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
0.9	14.29	-85	-58.475	-73.4	-99	-99	-99	-99	-95.475	-99	-67.675	-73.8	-90.325	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.8	-99	-88.3	-99	-99	-80.875	-99	-99	-99	-99	-99	-99	-98.775	-97.475	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
5.2	22.49	-69	-56.675	-76.175	-99	-99	-99	-99	-99	-99	-81	-93.85	-96.275	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
12.99	35.99	-60.35	-81.975	-99	-99	-89.975	-99	-96.625	-99	-99	-99	-99	-99	-98.375	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
8.98	33.67	-55.05	-82.3	-99	-99	-92	-99	-98.75	-89.575	-96.65	-99	-99	-99	-98.325	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.625	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
8.98	38.19	-61.35	-85.7	-99	-99	-93.7	-99	-99	-85.125	-95.875	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.85	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
34.24	9.89	-94.825	-86.075	-99	-99	-99	-99	-99	-99	-99	-75.725	-50.675	-99	-99	-95.875	-79.3	-99	-99	-99	-99	-99	-99	-99	-99	-88.975	-77.95	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
34.29	14.29	-99	-82	-99	-99	-99	-99	-99	-99	-99	-78.225	-46.5	-99	-99	-94.2	-78	-97.875	-97.175	-99	-99	-99	-99	-99	-99	-83.025	-80.7	-99	-97.75	-95.275	-98	-99	-96.375	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.975	-96.275	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
31.19	12.2	-97.85	-80.575	-99	-99	-99	-99	-99	-99	-99	-75.6	-51.5	-99	-99	-89.375	-82.1	-99	-99	-99	-99	-99	-99	-99	-99	-93.25	-80.275	-95.8	-98.375	-99	-97.2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
28.81	14.41	-97.55	-83.625	-99	-99	-99	-99	-99	-99	-99	-70.925	-52.175	-99	-99	-84.85	-91.25	-99	-99	-99	-99	-99	-99	-99	-99	-89.475	-79.3	-99	-97.05	-99	-99	-96.225	-98.8	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
36.38	10.85	-99	-99	-99	-99	-99	-99	-99	-99	-99	-80.025	-51.95	-99	-99	-99	-71.625	-93.85	-99	-99	-99	-99	-99	-99	-99	-79.325	-71.675	-99	-92.275	-99	-99	-99	-98.425	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-92.325	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
14.29	37.8	-70	-87	-99	-99	-84.15	-99	-91.85	-98.675	-96.575	-99	-95.2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.825	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
10.28	40.28	-70.95	-90.35	-96.8	-96.7	-86.5	-99	-94.675	-92.825	-96.175	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
29.44	5.82	-99	-90.525	-99	-99	-99	-99	-99	-99	-99	-74.825	-63.35	-99	-99	-96.675	-86.1	-99	-99	-99	-99	-99	-99	-99	-99	-99	-74.425	-91.25	-89.775	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-95.175	-96.45	-99	-99	-99	-99	-99	-99	-99	-99	-99
29.66	1.41	-99	-92.375	-99	-99	-99	-99	-99	-99	-99	-76.725	-65.1	-99	-99	-99	-90.6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-77.625	-90.125	-88.675	-99	-99	-99	-99	-99	-99	-99	-99	-99	-94.75	-92.3	-99	-99	-99	-99	-99	-99	-99	-99	-94.3	-99	-96.425	-98.025	-99	-99	-99	-99	-99	-99	-99
33.5	3.73	-99	-91.55	-99	-99	-99	-99	-99	-99	-99	-78.8	-66.325	-99	-99	-99	-83.65	-99	-99	-99	-99	-99	-99	-99	-99	-97.1	-76.125	-91.55	-88.75	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.225	-96.25	-99	-99	-99	-99	-99	-99	-99	-99	-91.1	-96	-98.075	-99	-98.525	-99	-99	-99	-99	-99	-99
36.95	1.19	-99	-93.125	-99	-99	-99	-99	-99	-99	-99	-79.775	-65.425	-99	-99	-99	-79.975	-99	-99	-99	-99	-99	-96.525	-99	-99	-86.175	-69.075	-94.65	-89.975	-99	-99	-99	-99	-99	-99	-99	-99	-99	-95.5	-97.125	-99	-99	-99	-99	-99	-99	-99	-93.6	-97.075	-98.775	-99	-99	-99	-99	-99	-99	-99	-99	-99
36.5	5.76	-99	-93.475	-99	-99	-99	-99	-99	-99	-99	-77.525	-60.375	-99	-99	-99	-79.7	-99	-99	-99	-99	-99	-99	-99	-99	-88.575	-71.45	-96.35	-88.775	-99	-99	-99	-99	-99	-99	-99	-99	-99	-96.75	-97.1	-99	-99	-99	-99	-99	-99	-99	-90.175	-98.05	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
28.31	1.19	-99	-85.7	-99	-99	-99	-99	-99	-99	-99	-73.6	-70.575	-99	-99	-97.625	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-81	-90.025	-88.725	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.5	-94.4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-97.375	-95.2	-99	-99	-99	-99	-99	-99	-99	-99
